"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.121440260E0,6.498817006E1,2.551600237E1,2.736367137E1,1.360000014E0,3.135000000E2,5.157892227E0,8.000000000E0
1.282008072E0,6.498817600E1,2.551598758E1,2.739657672E1,1.360000014E0,3.135000000E2,5.807980061E0,8.000000000E0
2.289572030E0,6.498816895E1,2.551601149E1,2.712373996E1,1.090000033E0,2.862000122E2,5.564342022E0,8.000000000E0
3.288100624E0,6.498816313E1,2.551599462E1,2.904341451E1,1.029999971E0,2.918999939E2,5.471716404E0,8.000000000E0
4.290254998E0,6.498815827E1,2.551598135E1,3.195063831E1,1.600000024E0,2.720000000E2,4.891937256E0,8.000000000E0
5.288779425E0,6.498815458E1,2.551595621E1,3.316285741E1,1.470000029E0,2.667999878E2,4.547404766E0,6.000000000E0
6.292398331E0,6.498815387E1,2.551593595E1,3.406874317E1,1.669999957E0,2.813999939E2,4.122198105E0,6.000000000E0
7.288139476E0,6.498814141E1,2.551592348E1,3.453766639E1,1.389999986E0,2.553999939E2,4.033825874E0,6.000000000E0
8.292331038E0,6.498813818E1,2.551590865E1,3.418805596E1,1.309999943E0,2.733999939E2,3.955806494E0,4.000000000E0
9.295620048E0,6.498813752E1,2.551589681E1,3.330866236E1,1.399999976E0,2.796000061E2,3.790092468E0,4.000000000E0
1.030335213E1,6.498813546E1,2.551588557E1,3.268048809E1,1.220000029E0,2.742000122E2,3.790092468E0,4.000000000E0
1.129924343E1,6.498813261E1,2.551587541E1,3.272339449E1,1.009999990E0,2.572000122E2,3.790092468E0,4.000000000E0
1.229616213E1,6.498812873E1,2.551586768E1,3.214960041E1,8.399999738E-1,2.713999939E2,3.790092468E0,3.000000000E0
1.329910723E1,6.498812873E1,2.551585481E1,3.206927981E1,8.600000143E-1,2.921000061E2,3.790092468E0,3.000000000E0
1.429541307E1,6.498812933E1,2.551584160E1,3.093909409E1,9.700000286E-1,2.718999939E2,3.790092468E0,3.000000000E0
1.530004182E1,6.498813350E1,2.551582530E1,3.056696871E1,9.700000286E-1,2.912999878E2,3.790092468E0,4.000000000E0
1.629467682E1,6.498813771E1,2.551580071E1,3.155977364E1,9.800000191E-1,2.791000061E2,3.790092468E0,4.000000000E0
1.729440900E1,6.498814132E1,2.551577721E1,3.155025854E1,1.000000000E0,2.898999939E2,3.790092468E0,3.000000000E0
1.829907286E1,6.498814310E1,2.551575587E1,3.130325368E1,1.070000052E0,2.682999878E2,3.790092468E0,3.000000000E0
1.930419228E1,6.498814584E1,2.551573577E1,3.142178909E1,9.900000095E-1,2.893999939E2,3.790092468E0,3.000000000E0
2.030068906E1,6.498814712E1,2.551571535E1,3.145682711E1,1.100000024E0,2.637999878E2,3.790092468E0,3.000000000E0
2.130644015E1,6.498814539E1,2.551570029E1,3.064994270E1,1.000000000E0,2.438000031E2,3.790092468E0,3.000000000E0
2.230373192E1,6.498814437E1,2.551568245E1,3.012803245E1,9.599999785E-1,2.725000000E2,3.790092468E0,3.000000000E0
2.329855650E1,6.498814583E1,2.551566074E1,2.986466992E1,9.599999785E-1,2.780000000E2,3.790092468E0,3.000000000E0
2.429417890E1,6.498814703E1,2.551563912E1,2.930357764E1,1.100000024E0,2.718999939E2,3.790092468E0,3.000000000E0
2.529937822E1,6.498814880E1,2.551560637E1,2.958959427E1,1.330000043E0,2.766000061E2,3.790092468E0,3.000000000E0
2.629650744E1,6.498815204E1,2.551557396E1,2.930017276E1,1.320000052E0,2.817000122E2,3.790092468E0,3.000000000E0
2.729553364E1,6.498815281E1,2.551554864E1,2.735993017E1,1.279999971E0,2.687000122E2,3.790092468E0,3.000000000E0
2.828858306E1,6.498815417E1,2.551552046E1,2.747297220E1,1.409999967E0,2.761000061E2,3.790092468E0,3.000000000E0
2.930361040E1,6.498815857E1,2.551548980E1,2.747597096E1,1.509999990E0,2.862999878E2,3.790092468E0,3.000000000E0
3.029516004E1,6.498815902E1,2.551545174E1,2.800386939E1,1.700000048E0,2.601000061E2,3.790092468E0,3.000000000E0
3.130994587E1,6.498815672E1,2.551540722E1,3.019033545E1,1.519999981E0,2.668999939E2,3.790092468E0,4.000000000E0
3.229265035E1,6.498815767E1,2.551537478E1,3.028482296E1,1.179999948E0,2.690000000E2,3.790092468E0,4.000000000E0
3.329549150E1,6.498815712E1,2.551533833E1,3.154971976E1,9.700000286E-1,2.767000122E2,3.790092468E0,4.000000000E0
3.430490884E1,6.498815205E1,2.551530528E1,3.185050062E1,1.100000024E0,2.513999939E2,3.790092468E0,4.000000000E0
3.530053118E1,6.498814972E1,2.551527339E1,3.146793425E1,1.149999976E0,2.823999939E2,3.790092468E0,4.000000000E0
3.630042405E1,6.498815098E1,2.551524688E1,3.138084169E1,9.800000191E-1,2.906000061E2,3.790092468E0,4.000000000E0
3.729576207E1,6.498814724E1,2.551522020E1,3.110233828E1,1.269999981E0,2.506999969E2,3.790092468E0,6.000000000E0
3.830048004E1,6.498814718E1,2.551519457E1,3.035643091E1,1.190000057E0,2.857000122E2,3.790092468E0,4.000000000E0
3.929807426E1,6.498814676E1,2.551516894E1,3.106554030E1,9.800000191E-1,2.638999939E2,3.790092468E0,4.000000000E0
4.030188124E1,6.498814341E1,2.551514024E1,3.209965958E1,1.029999971E0,2.737000122E2,3.790092468E0,4.000000000E0
4.130040118E1,6.498814017E1,2.551510752E1,3.230064961E1,1.139999986E0,2.727999878E2,3.790092468E0,4.000000000E0
4.230868618E1,6.498813759E1,2.551507935E1,3.144304591E1,1.029999971E0,2.782999878E2,3.790092468E0,4.000000000E0
4.329274790E1,6.498813758E1,2.551505437E1,3.080645246E1,1.039999962E0,2.883999939E2,3.790092468E0,4.000000000E0
4.430234498E1,6.498813950E1,2.551503125E1,3.027899142E1,1.039999962E0,2.903999939E2,3.790092468E0,4.000000000E0
4.530110149E1,6.498813880E1,2.551500528E1,3.042547852E1,1.190000057E0,2.635000000E2,3.790092468E0,4.000000000E0
4.629453082E1,6.498813696E1,2.551497925E1,3.009631760E1,1.049999952E0,2.715000000E2,3.790092468E0,4.000000000E0
4.729355701E1,6.498813465E1,2.551495060E1,3.002271079E1,1.070000052E0,2.775000000E2,3.790092468E0,4.000000000E0
4.829068863E1,6.498813350E1,2.551492248E1,2.934284278E1,1.090000033E0,2.801000061E2,3.790092468E0,4.000000000E0
4.929934248E1,6.498813348E1,2.551489435E1,2.909376194E1,1.070000052E0,2.841000061E2,4.018539429E0,6.000000000E0
5.029830982E1,6.498813452E1,2.551486621E1,2.830403266E1,1.149999976E0,2.890000000E2,3.822270870E0,6.000000000E0
5.129526837E1,6.498813534E1,2.551484161E1,2.846846533E1,1.090000033E0,2.727999878E2,3.825162649E0,6.000000000E0
5.229784113E1,6.498813441E1,2.551481420E1,2.904250367E1,1.340000033E0,2.673999939E2,3.851916313E0,6.000000000E0
5.329778191E1,6.498813719E1,2.551477786E1,2.902639767E1,1.809999943E0,2.867000122E2,3.839612007E0,6.000000000E0
5.430341514E1,6.498814129E1,2.551474127E1,2.916495601E1,1.779999971E0,2.773999939E2,3.830638409E0,6.000000000E0
5.530419857E1,6.498814325E1,2.551470706E1,2.933720347E1,1.700000048E0,2.685000000E2,3.790092468E0,6.000000000E0
5.629823498E1,6.498814401E1,2.551467633E1,3.009148063E1,1.620000005E0,2.697999878E2,3.790092468E0,6.000000000E0
5.730501883E1,6.498814687E1,2.551464745E1,3.055620869E1,1.649999976E0,2.767999878E2,3.790092468E0,6.000000000E0
5.831079482E1,6.498814692E1,2.551461752E1,3.156365892E1,1.559999943E0,2.607999878E2,3.790092468E0,6.000000000E0
5.929427461E1,6.498814640E1,2.551458548E1,3.256476123E1,1.549999952E0,2.822999878E2,3.790092468E0,4.000000000E0
6.029437013E1,6.498814559E1,2.551455835E1,3.261585043E1,1.029999971E0,2.656000061E2,3.790092468E0,6.000000000E0
6.130190440E1,6.498814664E1,2.551453426E1,3.234095218E1,1.110000014E0,2.852999878E2,3.790092468E0,6.000000000E0
6.229326039E1,6.498814839E1,2.551451213E1,3.143311976E1,1.029999971E0,2.841000061E2,3.790092468E0,6.000000000E0
6.330749591E1,6.498814948E1,2.551448993E1,3.150496202E1,1.039999962E0,2.810000000E2,3.790092468E0,6.000000000E0
6.429898753E1,6.498814932E1,2.551446146E1,3.278597143E1,1.029999971E0,2.777000122E2,3.790092468E0,6.000000000E0
6.530112159E1,6.498814998E1,2.551443014E1,3.320614212E1,1.049999952E0,2.847000122E2,3.790092468E0,6.000000000E0
6.629261883E1,6.498814974E1,2.551440123E1,3.282223452E1,1.049999952E0,2.698999939E2,3.790092468E0,4.000000000E0
6.729255737E1,6.498815083E1,2.551437755E1,3.161691634E1,1.059999943E0,2.810000000E2,3.790092468E0,6.000000000E0
6.828991971E1,6.498815187E1,2.551435359E1,3.134757226E1,1.090000033E0,2.862000122E2,3.790092468E0,4.000000000E0
6.929455013E1,6.498815356E1,2.551433113E1,3.077866805E1,1.029999971E0,2.872000122E2,3.790092468E0,4.000000000E0
7.029962820E1,6.498815496E1,2.551430749E1,3.115684624E1,1.039999962E0,2.932000122E2,3.790092468E0,6.000000000E0
7.130147383E1,6.498815419E1,2.551428255E1,3.061412416E1,1.149999976E0,2.660000000E2,3.790092468E0,6.000000000E0
7.230034195E1,6.498815389E1,2.551425782E1,3.089513295E1,1.070000052E0,2.803999939E2,3.790092468E0,6.000000000E0
7.329871539E1,6.498815510E1,2.551423541E1,3.016204371E1,1.039999962E0,2.816000061E2,3.790092468E0,6.000000000E0
7.429811242E1,6.498815737E1,2.551421422E1,2.959820579E1,1.049999952E0,2.932000122E2,3.790092468E0,6.000000000E0
7.529427778E1,6.498815962E1,2.551419272E1,2.922687276E1,1.049999952E0,2.903999939E2,3.790092468E0,6.000000000E0
