"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.372043300E-2,0.000000000E0,0.000000000E0,0.000000000E0
2.872043300E-2,5.119016171E-1,-8.071880341E-1,-3.089989424E-1
3.064923500E-2,1.403682947E0,-1.251252174E0,-1.191535592E-1
3.503178700E-2,2.041082621E0,-1.546480179E0,6.287250519E-1
3.995782900E-2,1.787320256E0,-1.942612648E0,1.685463548E0
4.488387000E-2,1.958413124E-1,-2.506499290E0,2.446831703E0
4.980991200E-2,6.954212785E-1,-2.664810181E0,2.816502571E0
5.473595400E-2,1.788116217E0,-2.131326675E0,2.859765053E0
5.966199500E-2,9.100493193E-1,-1.950880051E0,2.555952549E0
6.458803700E-2,-4.075297117E-1,-1.451587677E0,1.526385307E0
6.951407900E-2,-9.579870701E-1,-2.485361099E-1,5.624412298E-1
7.444012000E-2,-3.001757860E-1,1.405782700E0,-8.880078793E-2
7.936616200E-2,3.800947666E-1,3.006023407E0,-1.427005529E0
8.429220400E-2,5.850448012E-1,4.481816292E0,-3.547595501E0
8.921824500E-2,4.346932769E-1,5.688004971E0,-5.696449280E0
9.414428700E-2,1.200324893E-1,6.568570137E0,-7.265026569E0
9.907032900E-2,-9.922133088E-1,7.149929047E0,-7.542519093E0
1.039963700E-1,-2.511283875E0,7.536857605E0,-7.108586311E0
1.089224120E-1,-3.036868811E0,7.502303123E0,-6.041925907E0
1.138484540E-1,-3.289870262E0,7.282734871E0,-4.051052570E0
1.187625160E-1,-3.431932926E0,7.141640663E0,-2.107613564E0
1.236765790E-1,-3.806778908E0,6.718648911E0,1.990007460E-1
1.285985060E-1,-4.439238548E0,6.020237923E0,1.110291839E0
1.335438180E-1,-4.840200424E0,5.051155567E0,1.209685802E0
1.384906930E-1,-4.489273071E0,4.229061127E0,7.229412198E-1
1.434459020E-1,-3.888059378E0,3.534902573E0,3.651261330E-2
1.484120480E-1,-3.303158522E0,2.893837452E0,-4.362460375E-1
1.533866830E-1,-2.458462238E0,2.165219784E0,-6.387516260E-1
1.583725160E-1,-1.352796316E0,1.396306992E0,-5.010783672E-1
1.633694950E-1,-2.534267902E-1,6.125268936E-1,-2.730034590E-1
1.683772560E-1,5.688591003E-1,-1.473436356E-1,-2.126017809E-1
