"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.166728072E0,6.498889293E1,2.550821546E1,2.791612913E1,6.700000167E-1,2.846000061E2,7.628869057E0,8.000000000E0
1.243834426E0,6.498889666E1,2.550819284E1,2.790252466E1,6.600000262E-1,2.942000122E2,7.729652882E0,8.000000000E0
2.249590051E0,6.498890486E1,2.550818352E1,2.916040695E1,2.599999905E-1,3.195000000E2,7.277459145E0,8.000000000E0
3.253265988E0,6.498892049E1,2.550819110E1,2.919649214E1,1.039999962E0,2.129999924E1,6.305764675E0,6.000000000E0
4.248338852E0,6.498894158E1,2.550818269E1,3.048673481E1,1.289999962E0,3.543999939E2,5.307819843E0,6.000000000E0
5.247833331E0,6.498896517E1,2.550816670E1,2.900671710E1,1.889999986E0,3.502999878E2,5.125399590E0,6.000000000E0
6.246860987E0,6.498898571E1,2.550813669E1,3.137472085E1,1.629999995E0,3.488999939E2,4.617286682E0,6.000000000E0
7.252166507E0,6.498899953E1,2.550810068E1,3.181400826E1,1.740000010E0,3.311000061E2,4.325728416E0,4.000000000E0
8.255580674E0,6.498901087E1,2.550807089E1,3.351983311E1,1.409999967E0,3.341000061E2,4.163984299E0,4.000000000E0
9.258226715E0,6.498902253E1,2.550804481E1,3.417603619E1,1.440000057E0,3.445000000E2,4.051290035E0,4.000000000E0
1.025938609E1,6.498903177E1,2.550801532E1,3.305702996E1,1.169999957E0,3.292999878E2,3.918742657E0,4.000000000E0
1.124648770E1,6.498904033E1,2.550800156E1,3.271335066E1,9.800000191E-1,3.532000122E2,4.478218555E0,6.000000000E0
1.225515364E1,6.498904914E1,2.550797678E1,3.273637223E1,1.029999971E0,3.221000061E2,4.469738960E0,6.000000000E0
1.325057900E1,6.498905974E1,2.550795372E1,3.286425363E1,1.269999981E0,3.391000061E2,4.453085899E0,6.000000000E0
1.425377249E1,6.498907213E1,2.550793116E1,3.299964393E1,1.600000024E0,3.262000122E2,4.309929848E0,6.000000000E0
1.525269937E1,6.498908276E1,2.550790751E1,3.181258403E1,1.190000057E0,3.270000000E2,4.408948421E0,6.000000000E0
1.625702671E1,6.498909427E1,2.550789442E1,3.133298206E1,1.289999962E0,3.492999878E2,4.377048016E0,6.000000000E0
1.725177067E1,6.498910374E1,2.550787522E1,3.208677745E1,1.129999995E0,3.198999939E2,4.232469559E0,6.000000000E0
1.825657421E1,6.498911401E1,2.550785804E1,3.332110309E1,9.900000095E-1,3.387999878E2,4.271579266E0,6.000000000E0
1.925595853E1,6.498912288E1,2.550784158E1,3.387342052E1,9.900000095E-1,3.188999939E2,4.215181828E0,4.000000000E0
2.025500228E1,6.498913099E1,2.550782454E1,3.386842531E1,1.029999971E0,3.306000061E2,4.125170231E0,4.000000000E0
2.125771624E1,6.498914029E1,2.550779797E1,3.343881084E1,1.100000024E0,3.232000122E2,3.830914259E0,4.000000000E0
2.225466994E1,6.498915150E1,2.550778337E1,3.507261212E1,1.009999990E0,3.558999939E2,4.069322586E0,4.000000000E0
2.325458103E1,6.498916247E1,2.550776895E1,3.505406939E1,1.169999957E0,3.286000061E2,4.050079823E0,4.000000000E0
2.426242192E1,6.498917300E1,2.550775290E1,3.481933995E1,1.169999957E0,3.276000061E2,4.208896160E0,4.000000000E0
2.526707916E1,6.498918130E1,2.550774169E1,3.549708342E1,1.009999990E0,3.241000061E2,4.072161674E0,3.000000000E0
2.626258421E1,6.498919060E1,2.550773790E1,3.408357929E1,1.009999990E0,3.427000122E2,3.921683550E0,3.000000000E0
2.726113895E1,6.498920144E1,2.550774181E1,3.309689443E1,1.090000033E0,4.500000000E0,3.934047937E0,3.000000000E0
2.825435791E1,6.498921193E1,2.550774703E1,3.269266757E1,1.000000000E0,2.099999905E0,4.047024727E0,3.000000000E0
